tweet_id,tweet_text,cls_labels,gpt_rationales
592375504453378049',RT @htTweets: Around three lakh foreign tourists stranded in quake-hit Nepal http://t.co/ZaJF5PRrrE,affected_people_and_evacuations,foreign tourists stranded in quake-hit Nepal
592275366963585025',"RT @soniamehra3841: #MSGHelpEarthquakeVictims More than 100 people r knwn to hv died in a\npowerful earthquake dat struck Nepal, wrecking ma…",injured_or_dead_people,More than 100 people r knwn to hv died in a powerful earthquake dat struck Nepal
591919579556786176',RT @mascud_r: Let's pray for minimum life loss in  #NepalEarthquake .,not_related_or_irrelevant,RT @mascud_r: Let's pray for minimum life loss in  #NepalEarthquake .
592284346054152192',"RT @ameetdhakal: The latest one was 6.7 magnitude, 65 km east of Kathmandu, according to US geological survey.",other_useful_information,"The latest one was 6.7 magnitude, 65 km east of Kathmandu, according to US geological survey."
592337847937544192',RT @OxfamAmerica: Devastating Earthquake in #Nepal: Humanitarian Relief and Tackling Poverty by Oxfam's @Winnie_Byanyima http://t.co/Sn6zWp…,rescue_volunteering_and_donation_effort,Humanitarian Relief and Tackling Poverty by Oxfam's @Winnie_Byanyima
592259025049268224',RT @rsjaitly: Members of my fam unreachable in #Nepal. Pls share conditions/contacts near Chitwan. RT @DeeptiSharma1: Trying to reach famil…,affected_people_and_evacuations,Members of my fam unreachable
592275037945757697',RT @aggopal15: http://t.co/fqfj8yAl5k\nPls RT THIS PHOTO \nTHESE GUYS ARE MISSING IN NEPAL.\nTHEY STAYED AT' THE LAST RESORT'RESORT NAME IS TH…,affected_people_and_evacuations,missing in Nepal [SEP] they stayed at' the last resort'resort name is th…
592335488733749249',We Youth of Biratnagar are standby for any need #QuakeNepal @YouthForBlood http://t.co/kJuF7ObgcR,not_related_or_irrelevant,Standby for any need #QuakeNepal
593806889139490816',RT @jackthurston: Raising money for the victims of the Nepal earthquake @abergavennyRC member Tom Lovejoy will be Everesting the Tumble htt…,rescue_volunteering_and_donation_effort,Raising money for the victims of the Nepal earthquake [SEP] Everesting the Tumble
592285304519659520',RT @snobers: Earthquake leaves structures in ruins in Nepal - Latest pics from #Kathmandu of #earthquake aftermath #Nepal http://t.co/Id3Mk…,infrastructure_and_utilities_damage,structures in ruins 
592342623110631427',RT @NSCPress: The US is deploying a team of disaster response experts to #Nepal and providing an initial $1 million in disaster relief assi…,rescue_volunteering_and_donation_effort,deploying a team of disaster response experts to #nepal [SEP] providing an initial $1 million in disaster relief assi…
592276696822317056',"RT @STForeignDesk: BREAKING: #NepalQuake: Aftershock of 6.7 magnitude hits Nepal and #India, triggers fresh avalanche\n\nhttp://t.co/AZ1y2VXy…",other_useful_information,Aftershock of 6.7 magnitude hits Nepal and #India [SEP] Triggers fresh avalanche
593076458391666688',RT @MEAcontrolroom: #NepalEarthquake NDMA is coordinating contributions 4 d relief efforts. 011-26701728/29/30 M:9868891801/9868101885 cont…,rescue_volunteering_and_donation_effort,coordinating contributions 4 d relief efforts
592255915098644480',RT @nepalnews: .@rahulkanwal @IndiGo6E Airport has been shut down. Other planes to Kathmandu have also been circling around. http://t.co/ZK…,infrastructure_and_utilities_damage,Airport has been shut down [SEP] Other planes to Kathmandu have also been circling around
593322108110774272',RT @BixberNavy: This is such a miserable site to see. Please do send help. ὢDὢDὢD #PrayForNepal #NepalEarthquake http://t.co/P8wRuJHavQ,not_related_or_irrelevant,This is such a miserable site to see. [SEP] Please do send help. [SEP] #PrayForNepal #NepalEarthquake
592695034924924929',"RT @SirJadeja: Over 40 aftershocks hit Nepal over two days. Players to God, No More #EarthquakeAgain Please.",not_related_or_irrelevant,"Players to God, No More #EarthquakeAgain Please."
593159571809705985',RT @AFADTurkey: A search+rescue worker looks for a sign of life in a collapsed apartment building in Kathmandu. #NepalEarthquake http://t.c…,rescue_volunteering_and_donation_effort,search+rescue worker [SEP] collapsed apartment building [SEP] Kathmandu [SEP] NepalEarthquake
592326110379126787',"RT @LiberalsOfDelhi: 20,000 RSS workers are helping out in Nepal? Bigger question is, how will Khakhi chaddis survive in Himalayan cold?   …",rescue_volunteering_and_donation_effort,"20,000 RSS workers are helping out in Nepal"
592344291483222016',How to help Nepal: 7 vetted charities doing relief work following the earthquake http://t.co/3q9YEbrWe7,rescue_volunteering_and_donation_effort,How to help Nepal: 7 vetted charities doing relief work following the earthquake
592252043298996224',RT @wiltshiretimes: Wiltshire rescue team heads to site of Nepal earthquake: Expert volunteer rescuers from Wiltshire rescue organ... http:…,rescue_volunteering_and_donation_effort,Wiltshire rescue team heads to site of Nepal earthquake [SEP] Expert volunteer rescuers from Wiltshire rescue organ...
